category,foodCode,foodName,englishName,edible,energyKCal,protein,fat,CHO
乳类及其制品-其他,109001,炼乳（甜，罐头）,Condensed milk，pasteurized，sweetened，canned,100,332,8.0,8.7,55.4
乳类及其制品-其他,109002,奶皮子,Milk skin，fresh,100,460,12.2,42.9,6.3
乳类及其制品-其他,109003,奶片,Milk tablet，sugar added,100,472,13.3,20.2,59.3
乳类及其制品-其他,109004,全脂甜炼乳（雀巢）,,100,380,7.5,10.0,64.9
乳类及其制品-其他,109005,全脂甜炼乳（燕山牌）,,100,374,8.2,10.0,62.8
乳类及其制品-其他,109006,脱脂甜炼乳,,100,275,10.3,0.2,58.0
乳类及其制品-其他,109007,蛋白粉（益力健乳铁乳清蛋白粉）,,100,425,50.0,12.5,28.0
乳类及其制品-其他,109008,牛初乳奶片（纽瑞滋牛初乳咀嚼奶片）,,100,347,27.0,4.5,49.5
乳类及其制品-其他,109009,奶渣,,100,381,44.4,4.2,41.3
乳类及其制品-奶油,105001,奶油,Cream,100,879,0.7,97.0,0.9
乳类及其制品-奶油,105002,奶油（焦克）,Cream,100,447,3.0,48.3,0.0
乳类及其制品-奶油,105003,奶油（食品工业）,"Cream, for food industry use",100,504,1.1,55.5,0.0
乳类及其制品-奶油,105004,黄油,Butter,100,888,1.4,98.0,0.0
乳类及其制品-奶油,105005,黄油渣,"Butter residue, milk solids",100,599,11.1,43.8,40.0
乳类及其制品-奶油,105006,白脱（食品工业）［牛油、黄油］,"Butter, for food industry use",100,744,—,82.7,0.0
乳类及其制品-奶油,105007,酥油,Shortening,100,860,1.5,94.4,1.1
乳类及其制品-奶油,105008,奶油,,100,785,1.1,86.0,1.7
乳类及其制品-奶油,105009,酥油,,100,718,0.7,74.9,10.3
乳类及其制品-奶油,105010,酥油茶（原味）,,100,465,3.0,17.7,73.3
乳类及其制品-奶粉,102101,全脂奶粉（多维奶粉）,Whole milk powder，fortified with vitamin,100,484,19.9,22.7,49.9
乳类及其制品-奶粉,102101x,全脂奶粉（代表值）,,100,482,19.9,22.3,50.5
乳类及其制品-奶粉,102103,全脂奶粉,Whole milk powder,100,478,20.1,21.2,51.7
乳类及其制品-奶粉,102104,全脂奶粉（速溶）,Whole milk powder，instant,100,466,19.9,18.9,54.0
乳类及其制品-奶粉,102105,全脂奶粉（雀巢）,,100,504,24.0,28.0,39.0
乳类及其制品-奶粉,102107,全脂奶粉（伊利牌）,,100,504,22.0,26.0,45.5
乳类及其制品-奶粉,102125,全脂奶粉（红星速溶加锌奶粉）,,100,478,18.5,20.8,54.1
乳类及其制品-奶粉,102126,全脂奶粉（欧世蒙牛多维高钙高铁奶粉）,,100,473,18.2,21.7,51.1
乳类及其制品-奶粉,102127,全脂奶粉（雪花钙加锌调制奶粉）,,100,461,17.0,19.0,55.5
乳类及其制品-奶粉,102128,全脂奶粉（雪花高钙多维调制奶粉）,,100,484,19.5,22.0,52.0
乳类及其制品-奶粉,102130x,全脂甜奶粉（代表值）,,100,485,20.2,22.9,49.6
